kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
現	3	5	85	11	314	298	ゲン	ゲン	あらわ(れる), あらわ(す)	あらわ･れる, あらわ･す, うつつ, うつ･つ	present, appear	present, existing, actual
在	3	5	211	6	316	268	ザイ	ザイ	あ(る)	あ･る	outskirts, country, exist	exist, outskirts, suburbs, located in
位	3	4	276	7	320	122	イ	イ	くらい	くらい, ぐらい	rank, position	rank, grade, throne, crown, about, some
易	3	5	571	8	322	759	エキ, イ	エキ, イ	やさ(しい)	やさ･しい, やす･い	divination, easy, simple	easy, ready to, simple, fortune-telling, divination
偉	3	8	1639	12	325	1053	イ	イ	えら(い)	えら･い	great, eminent	admirable, greatness, remarkable, conceited, famous, excellent
違	3	8	344	13	326	814	イ	イ	ちが(う), ちが(える)	ちが･う, ちが･い, ちが･える, -ちが･える, たが･う, たが･える	differ, wrong	difference, differ
怒	3	8	1221	9	327	1596	ド	ド, ヌ	いか(る), おこ(る)	いか･る, おこ･る	anger	angry, be offended
息	3	3	882	10	328	1242	ソク	ソク	いき	いき	breath	breath, respiration, son, interest (on money), nuture, rest, coming to an end
幾	3	8	1725	12	331	877	キ	キ	いく	いく-, いく･つ, いく･ら	how much/many, some	how many, how much, how far, how long, some, several
育	3	3	369	8	332	246	イク	イク	そだ(つ), そだ(てる)	そだ･つ, そだ･ち, そだ･てる, はぐく･む	grow, raise, educate	bring up, grow up, raise, rear
戦	3	4	78	13	333	301	セン	セン	いくさ, たたか(う)	いくさ, たたか･う, おのの･く, そよ･ぐ, わなな･く	fight, battle, war	war, battle, match
石	3	1	342	5	335	78	セキ, シャク	セキ, シャク, コク	いし	いし	stone	stone
忙	3	8	1475	6	337	1373	ボウ	ボウ, モウ	いそが(しい)	いそが･しい, せわ･しい, おそ･れる, うれえるさま	busy	busy, occupied, restless
痛	3	6	903	12	339	1320	ツウ	ツウ	いた(い), いた(む), いた(める)	いた･い, いた･む, いた･ましい, いた･める	pain	pain, hurt, damage, bruise
抱	3	8	871	8	340	1285	ホウ	ホウ	だ(く), いだ(く), かか(える)	だ･く, いだ･く, かか･える	hug, hold, embrace	embrace, hug, hold in arms
頂	3	6	1350	11	341	1440	チョウ	チョウ	いただき, いただ(く)	いただ･く, いただき	summit, top, receive	place on the head, receive, top of head, top, summit, peak
否	3	6	561	7	344	1248	ヒ	ヒ	いな	いな, いや	no	negate, no, noes, refuse, decline, deny
命	3	3	465	8	345	578	メイ,ミョウ	メイ, ミョウ	いのち	いのち	life, order, command	fate, command, decree, destiny, life, appoint
要	3	4	106	9	347	419	ヨウ	ヨウ	い(る)	い･る, かなめ	main point, need	need, main point, essence, pivot, key to
居	3	5	836	8	348	171	キョ	キョ, コ	い(る)	い･る, -い, お･る	live, exist, be	reside, to be, exist, live with
因	3	5	636	6	352	554	イン	イン	よ(る)	よ･る, ちな･む	cause	cause, factor, be associated with, depend on, be limited to
初	3	4	152	7	355	679	ショ	ショ	うい, はつ, はじ(め)	はじ･め, はじ･めて, はつ, はつ-, うい-, -そ･める, -ぞ･め	first, beginning	first time, beginning
浮	3	8	776	10	358	938	フ	フ	う(く), う(かぶ)	う･く, う･かれる, う･かぶ, う･かべる	float, surface	floating, float, rise to surface
受	3	3	136	8	359	260	ジュ	ジュ	う(ける), う(かる)	う･ける, -う･け, う･かる	receive	accept, undergo, answer (phone), take, get, catch, receive
失	3	4	447	5	361	311	シツ	シツ	うしな(う)	うしな･う, う･せる	lose, vanish	lose, error, fault, disadvantage, loss
疑	3	6	283	14	363	1516	ギ	ギ	うたが(う)	うたが･う	doubt, suspect	doubt, distrust, be suspicious, question
内	3	2	44	4	364	84	ナイ, ダイ	ナイ, ダイ	うち	うち	inside	inside, within, between, among, house, home
打	3	3	239	5	365	1020	ダ	ダ, ダース	う(つ)	う･つ, う･ち-, ぶ･つ	hit, strike	strike, hit, knock, pound, dozen
美	3	3	462	9	366	401	ビ	ビ, ミ	うつく(しい)	うつく･しい	beauty, beautiful	beauty, beautiful
馬	3	2	639	10	369	283	バ	バ	うま, ま	うま, うま-, ま	horse	horse
得	3	5	175	11	374	374	トク	トク	う(る), え(る)	え･る, う･る	gain, profit	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit
絵	3	2	895	12	375	345	カイ, エ	カイ, エ			picture	picture, drawing, painting, sketch
泳	3	3	1223	8	376	1208	エイ	エイ	およ(ぐ)	およ･ぐ	swim	swim
役	3	3	315	7	380	375	ヤク, エキ	ヤク, エキ			post, service, battle	duty, war, campaign, drafted labor, office, service, role
越	3	8	897	12	383	1001	エツ	エツ, オツ	こ(す), こ(える)	こ･す, -こ･す, -ご･し, こ･える, -ご･え	cross, go over, exceed	surpass, cross over, move to, exceed, Vietnam
笑	3	4	913	10	384	1235	ショウ	ショウ	わら(う), え(む)	わら･う, え･む	laugh, smile	laugh
選	3	4	57	15	385	800	セン	セン	えら(ぶ)	えら･ぶ, え･る, よ･る	choose, select	elect, select, choose, prefer
園	3	2	628	13	386	447	エン	エン	その	その	garden	park, garden, yard, farm
演	3	5	267	14	388	344	エン	エン			act, perform, play	performance, act, play, render, stage
煙	3	8	1290	13	390	919	エン	エン	けむり, けむ(る), けむ(い)	けむ･る, けむり, けむ･い	smoke	smoke
緒	3	8	952	14	391	862	ショ, チョ	ショ, チョ	お	お, いとぐち	beginning, cord, thong	thong, beginning, inception, end, cord, strap, mental or emotional state
和	3	3	124	8	393	124	ワ, オ	ワ, オ, カ	やわ(らぐ), なご(む)	やわ･らぐ, やわ･らげる, なご･む, なご･やか, あ･える	peace, harmony, Japanese	harmony, Japanese style, peace, soften, Japan
老	3	4	803	6	394	543	ロウ	ロウ	お(いる), ふ(ける)	お･いる, ふ･ける	grow old	old man, old age, grow old
負	3	3	443	9	395	510	フ	フ	ま(ける), ま(かす), お(う)	ま･ける, ま･かす, お･う	lose, beat, defeat	defeat, negative, -, minus, bear, owe, assume a responsibility
追	3	3	411	9	396	1174	ツイ	ツイ	お(う)	お･う	chase, pursue	chase, drive away, follow, pursue, meanwhile
王	3	1	684	4	397	294	オウ	オウ, -ノウ			king	king, rule, magnate
横	3	3	480	15	400	781	オウ	オウ	よこ	よこ	beside, side, width	sideways, side, horizontal, width, woof, unreasonable, perverse
押	3	8	789	8	402	986	オウ	オウ	お(す), お(さえる)	お･す, お･し-, お･っ-, お･さえる, おさ･える	push	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
犯	3	5	874	5	404	882	ハン	ハン, ボン	おか(す)	おか･す	commit, violate	crime, sin, offense
置	3	4	277	13	407	426	チ	チ	お(く)	お･く, -お･き	put, place	placement, put, set, deposit, leave behind, keep, employ, pawn
遅	3	8	833	12	409	702	チ	チ	おそ(い), おく(れる), おく(らす)	おく･れる, おく･らす, おそ･い	late, slow	slow, late, back, later
治	3	4	109	8	412	493	ジ, チ	ジ, チ	おさ(める), おさ(まる), なお(る), なお(す)	おさ･める, おさ･まる, なお･る, なお･す	govern, rule, cure	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve
収	3	6	337	4	413	757	シュウ	シュウ	おさ(める), おさ(まる)	おさ･める, おさ･まる	obtain, collect	income, obtain, reap, pay, supply, store
恐	3	8	878	10	414	1602	キョウ	キョウ	おそ(れる), おそ(ろしい)	おそ･れる, おそ･る, おそ･ろしい, こわ･い, こわ･がる	fear, terrible, awful	fear, dread, awe
落	3	3	420	12	415	839	ラク	ラク	お(ちる), お(とす)	お･ちる, お･ち, お･とす	fall, drop	fall, drop, come down, village, hamlet
夫	3	4	335	4	416	315	フ, フウ	フ, フウ, ブ	おっと	おっと, それ	husband	husband, man
訪	3	6	372	11	417	1181	ホウ	ホウ	たず(ねる), おとず(れる)	おとず･れる, たず･ねる, と･う	visit	call on, visit, look up, offer sympathy
覚	3	4	710	12	421	605	カク	カク	おぼ(える), さ(める), さ(ます)	おぼ･える, さ･ます, さ･める, さと･る	remember, learn, awake	memorize, learn, remember, awake, sober up
面	3	3	186	9	422	274	メン	メン, ベン	おも, おもて, つら	おも, おもて, つら	face, mask, surface	mask, face, features, surface
折	3	4	962	7	423	1394	セツ	セツ, シャク	お(る), お(れる), おり	お･る, おり, お･り, -お･り, お･れる	break, fold, bend	fold, break, fracture, bend, yield, submit
降	3	6	596	10	424	947	コウ	コウ, ゴ	お(りる), お(ろす), ふ(る)	お･りる, お･ろす, ふ･る, ふ･り, くだ･る, くだ･す	fall, come down	descend, precipitate, fall, surrender
御	3	8	1087	12	425	708	ギョ, ゴ	ギョ, ゴ	おん	おん-, お-, み-	(honorific prefix)	honorable, manipulate, govern
科	3	2	531	9	427	320	カ	カ			department, course	department, course, section
化	3	3	89	4	428	254	カ, ケ	カ, ケ	ば(ける), ば(かす)	ば･ける, ば･かす, ふ･ける, け･する	change, bewitch	change, take the form of, influence, enchant, delude, -ization
番	3	2	348	12	429	185	バン	バン		つが･い	number, order, watch	turn, number in a series
加	3	4	130	5	431	709	カ	カ	くわ(える), くわ(わる)	くわ･える, くわ･わる	add, join	add, addition, increase, join, include, Canada
果	3	4	258	8	432	487	カ	カ	は(たす), は(てる), は(て)	は･たす, はた･す, -は･たす, は･てる, -は･てる, は･て	fruit, end, result	fruit, reward, carry out, achieve, complete, end, finish, succeed
可	3	5	314	5	435	388	カ	カ, コク		-べ･き, -べ･し	possible, approve	can, passable, mustn't, should not, do not
靴	3	8	1561	13	438	1076	カ	カ	くつ	くつ	shoes	shoes
解	3	5	176	13	443	474	カイ, ゲ	カイ, ゲ	と(く), と(ける), と(かす)	と･く, と･かす, と･ける, ほど･く, ほど･ける, わか･る, さと･る	solve, untie	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
皆	3	8	1267	9	446	587	カイ	カイ	みな	みな, みんな	all, everyone, everybody	all, everything
害	3	4	358	10	447	518	ガイ	ガイ			harm, injury, damage	harm, injury
交	3	2	178	6	448	114	コウ	コウ	ま(じる), まじ(わる), か(う)	まじ･わる, まじ･える, ま･じる, まじ･る, ま･ざる, ま･ぜる, -か･う, か･わす, かわ･す, こもごも	exchange, mix, associate	mingle, mixing, association, coming & going
返	3	3	685	7	449	442	ヘン	ヘン	かえ(す), かえ(る)	かえ･す, -かえ･す, かえ･る, -かえ･る	return	return, answer, fade, repay
変	3	4	238	9	451	257	ヘン	ヘン	か(わる), か(える)	か･わる, か･わり, か･える	change, strange	unusual, change, strange
係	3	3	232	9	454	909	ケイ	ケイ	かか(る), かかり	かか･る, かかり, -がかり, かか･わる	charge, concern	person in charge, connection, duty, concern oneself
掛	3	8	1027	11	455	1464		カイ, ケイ	か(ける), か(かる), かかり	か･ける, -か･ける, か･け, -か･け, -が･け, か･かる, -か･かる, -が･かる, か･かり, -が･かり, かかり, -がかり	hang, spend, multiply	hang, suspend, depend, arrive at, tax, pour
限	3	5	405	9	456	847	ゲン	ゲン	かぎ(る)	かぎ･る, かぎ･り, -かぎ･り	limit	limit, restrict, to best of ability
欠	3	4	860	4	457	383	ケツ	ケツ, ケン	か(く), か(ける)	か･ける, か･く	lack	lack, gap, fail, yawning radical (no. 76)
客	3	3	557	9	459	641	カク, キャク	キャク, カク			guest, customer	guest, visitor, customer, client
格	3	5	281	10	460	643	カク, コウ	カク, コウ, キャク, ゴウ			status, rank, case	status, rank, capacity, character, case (law, grammar)
確	3	5	252	15	461	603	カク	カク, コウ	たし(か), たし(かめる)	たし･か, たし･かめる	certain	assurance, firm, tight, hard, solid, confirm, clear, evident
数	3	2	148	13	465	225	スウ, ス	スウ, ス, サク, ソク, シュ	かず, かぞ(える)	かず, かぞ･える, しばしば, せ･める, わずらわ･しい	number, count	number, strength, fate, law, figures
形	3	2	418	7	466	395	ケイ, ギョウ	ケイ, ギョウ	かたち, かた	かた, -がた, かたち, なり	form, shape	shape, form, style
難	3	6	330	18	471	557	ナン	ナン	かた(い), むずか(しい)	かた･い, -がた･い, むずか･しい, むづか･しい, むつか･しい, -にく･い	difficult, disaster	difficult, impossible, trouble, accident, defect
勝	3	3	185	12	475	509	ショウ	ショウ	か(つ), まさ(る)	か･つ, -が･ち, まさ･る, すぐ･れる, かつ	win, excel	victory, win, prevail, excel
活	3	2	171	9	476	237	カツ	カツ		い･きる, い･かす, い･ける	life, activity	lively, resuscitation, being helped, living
割	3	6	318	12	477	519	カツ	カツ	わ(る), わ(れる), わり, さ(く)	わ･る, わり, わ･り, わ･れる, さ･く	divide, break, rate	proportion, comparatively, divide, cut, separate, split
悲	3	3	1014	12	479	1034	ヒ	ヒ	かな(しい), かな(しむ)	かな･しい, かな･しむ	sad, lament	grieve, sad, deplore, regret
必	3	4	265	5	480	520	ヒツ	ヒツ	かなら(ず)	かなら･ず	surely, invariably	invariably, certain, inevitable
彼	3	8	648	8	481	977	ヒ	ヒ	かれ, かの	かれ, かの, か･の	he, that	he, that, the
構	3	5	316	14	482	1010	コウ	コウ	かま(う), かま(える)	かま･える, かま･う	structure, posture, mind	posture, build, pretend
神	3	3	347	9	483	310	シン, ジン	シン, ジン	かみ, かん, こう	かみ, かん-, こう-	god	gods, mind, soul
髪	3	8	1474	14	484	1148	ハツ	ハツ	かみ	かみ	hair	hair of the head
側	3	4	216	11	489	609	ソク	ソク	かわ	かわ, がわ, そば	side	side, lean, oppose, regret
感	3	3	233	13	491	262	カン	カン			feeling, sensation	emotion, feeling, sensation
完	3	4	595	7	492	613	カン	カン			complete, perfect	perfect, completion, end
官	3	4	230	8	493	326	カン	カン			government	bureaucrat, the government, organ
関	3	4	70	14	495	398	カン	カン	せき	せき, -ぜき, かか･わる, からくり, かんぬき	concern, barrier	connection, barrier, gateway, involve, concerning
観	3	4	476	18	496	604	カン	カン		み･る, しめ･す	appearance, view	outlook, look, appearance, condition, view
慣	3	5	1177	14	498	915	カン	カン	な(れる), な(らす)	な･れる, な･らす	custom, habit	accustomed, get used to, become experienced
雪	3	2	1131	11	505	949	セツ	セツ	ゆき	ゆき	snow	snow
晴	3	2	1022	12	506	662	セイ	セイ	は(れる), は(らす)	は･れる, は･れ, は･れ-, -ば･れ, は･らす	clear, fair	clear up
予	3	3	180	4	511	393	ヨ	ヨ, シャ		あらかじ･め	previously, in advance	beforehand, previous, myself, I
定	3	3	48	8	512	355	テイ, ジョウ	テイ, ジョウ	さだ(める), さだ(まる), さだ(か)	さだ･める, さだ･まる, さだ･か	decide, determine	determine, fix, establish, decide
約	3	4	94	9	513	211	ヤク	ヤク		つづ･まる, つづ･める, つづま･やか	approximately, promise	promise, approximately, shrink
末	3	4	456	5	514	305	マツ	マツ, バツ	すえ	すえ, うら, うれ	end	end, close, tip, powder, posterity
達	3	4	500	12	515	448	タツ, ダチ	タツ, ダ	たち	-たち	reach, gain, achieve	accomplished, reach, arrive, attain
願	3	4	894	19	516	581	ガン	ガン	ねが(う)	ねが･う, -ねがい	wish, desire, request	petition, request, vow, wish, hope
葉	3	3	414	12	518	253	ヨウ	ヨウ	は	は	leaf, foliage	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece
払	3	8	813	5	519	582	フツ	フツ, ヒツ, ホツ	はら(う)	はら･う, -はら･い, -ばら･い	pay, sweep away	pay, clear out, prune, banish, dispose of
調	3	3	87	15	521	342	チョウ	チョウ	しら(べる), ととの(う), ととの(える)	しら･べる, しら･べ, ととの･う, ととの･える	investigate, check, prepare	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate
探	3	6	930	11	522	535	タン	タン	さぐ(る), さが(す)	さぐ･る, さが･す	search, look for	grope, search, look for
記	3	2	149	10	524	371	キ	キ	しる(す)	しる･す	write/note down	scribe, account, narrative
期	3	3	117	12	525	449	キ, ゴ	キ, ゴ			time, period, term	period, time, date, term
喜	3	5	769	12	527	1143	キ	キ	よろこ(ぶ)	よろこ･ぶ, よろこ･ばす	joy, delight	rejoice, take pleasure in
機	3	4	127	16	528	528	キ	キ	はた	はた	opportunity, machine, loom	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion
規	3	5	349	11	529	607	キ	キ			rule, standard	standard, measure
寄	3	5	673	11	530	1361	キ	キ	よ(る), よ(せる)	よ･る, -よ･り, よ･せる	approach, meet, gather	draw near, stop in, bring near, gather, collect, send, forward
議	3	4	25	20	532	292	ギ	ギ			consult, discuss	deliberation, consultation, debate, consideration
寝	3	8	1034	13	533	1079	シン	シン	ね(る), ね(かす)	ね･る, ね･かす, い･ぬ, みたまや, や･める	go to bed, sleep	lie down, sleep, rest, bed, remain unsold
取	3	3	122	8	534	65	シュ	シュ	と(る)	と･る, と･り, と･り-, とり, -ど･り	take	take, fetch, take up
消	3	3	345	10	535	845	ショウ	ショウ	け(す), き(える)	き･える, け･す	extinguish, go out, disappear	extinguish, blow out, turn off, neutralize, cancel
頼	3	8	708	16	536	1512	ライ	ライ	たの(む), たの(もしい), たよ(る)	たの･む, たの･もしい, たよ･る	request, ask, rely	trust, request
伝	3	4	416	6	537	434	デン	デン, テン	つた(う), つた(える), つた(わる)	つた･わる, つた･える, つた･う, つだ･う, -づた･い, つて	tell, report, transmit	transmit, go along, walk along, follow, report, communicate, legend, tradition
利	3	4	203	7	541	329	リ	リ	き(く)	き･く	advantage, profit	profit, advantage, benefit
刻	3	6	866	8	544	1211	コク	コク	きざ(む)	きざ･む, きざ･み	cut, chop, engrave	engrave, cut fine, chop, hash, mince, time, carving
宿	3	3	701	11	547	179	シュク	シュク	やど, やど(る), やど(す)	やど, やど･る, やど･す	lodging, inn, shelter	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling
法	3	4	100	8	548	123	ホウ, ハツ	ホウ, ハッ, ホッ, フラン		のり	law	method, law, rule, principle, model, system
局	3	3	286	7	551	170	キョク	キョク		つぼね	bureau, office	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
部	3	3	36	11	552	86	ブ	ブ		-べ	part, section	section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine
号	3	3	585	5	553	266	ゴウ	ゴウ		さけ･ぶ, よびな	number, title	nickname, number, item, title, pseudonym, name, call
忘	3	6	1129	7	554	1374	ボウ	ボウ	わす(れる)	わす･れる	forget	forget
両	3	3	247	6	557	200	リョウ	リョウ		てる, ふたつ	both	both, old Japanese coin, counter for carriages (e.g., in a train), two
供	3	6	313	8	558	197	キョウ, ク	キョウ, ク, クウ, グ	とも, そな(える)	そな･える, とも, -ども	attendant, offer	submit, offer, present, serve (meal), accompany
決	3	3	71	7	562	356	ケツ	ケツ	き(める), き(まる)	き･める, -ぎ･め, き･まる, さ･く	decide	decide, fix, agree upon, appoint
君	3	3	947	7	563	793	クン	クン	きみ	きみ, -ぎみ	you, ruler	mister, you, ruler, male name suffix
球	3	3	302	11	566	726	キュウ	キュウ	たま	たま	ball, sphere	ball, sphere
求	3	4	220	7	567	724	キュウ	キュウ, グ	もと(める)	もと･める	want, request, demand, seek	request, want, wish for, require, demand
給	3	4	615	12	570	346	キュウ	キュウ		たま･う, たも･う, -たま･え	supply	salary, wage, gift, allow, grant, bestow on
静	3	4	764	14	572	663	セイ, ジョウ	セイ, ジョウ	しず(か), しず(まる), しず(める)	しず-, しず･か, しず･まる, しず･める	quite, peaceful	quiet
婚	3	8	767	11	574	567	コン	コン			marriage	marriage
式	3	3	251	6	575	525	シキ	シキ			ceremony, style, method	style, ceremony, rite, function, method, system, form, expression
閉	3	6	951	11	576	397	ヘイ	ヘイ	し(める), し(まる), と(じる), と(ざす)	と･じる, と･ざす, し･める, し･まる, た･てる	close, shut	closed, shut
招	3	5	840	8	577	455	ショウ	ショウ	まね(く)	まね･く	summon, invite	beckon, invite, summon, engage
留	3	5	731	10	578	761	リュウ, ル	リュウ, ル	と(まる), と(める)	と･める, と･まる, とど･める, とど･まる, るうぶる	stay, fasten	detain, fasten, halt, stop
吸	3	6	1054	6	581	1256	キュウ	キュウ	す(う)	す･う	inhale, suck, smoke	suck, imbibe, inhale, sip
許	3	5	720	11	582	737	キョ	キョ	ゆる(す)	ゆる･す, もと	permit, pardon	permit, approve
共	3	4	174	6	585	196	キョウ	キョウ	とも	とも, とも･に, -ども	together, both	together, both, neither, all, and, alike, with
経	3	5	79	11	587	548	ケイ, キョウ	ケイ, キョウ, キン	へ(る)	へ･る, た･つ, たていと, はか･る, のり	longitude, pass, elapse	sutra, longitude, pass thru, expire, warp
曲	3	3	810	6	594	366	キョク	キョク	ま(がる), ま(げる)	ま･がる, ま･げる, くま	music, melody, bend, curve	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
向	3	3	182	6	595	199	コウ	コウ	む(く), む(ける), む(かう), む(こう)	む･く, む･い, -む･き, む･ける, -む･け, む･かう, む･かい, む･こう, む･こう-, むこ, むか･い	face, turn, opposite	yonder, facing, beyond, confront, defy, tend toward, approach
渡	3	8	446	12	597	378	ト	ト	わた(る), わた(す)	わた･る, -わた･る, わた･す	cross, hand over	transit, ford, ferry, cross, import, deliver, diameter, migrate
差	3	4	449	10	598	658	サ	サ	さ(す)	さ･す, さ･し	difference	distinction, difference, variation, discrepancy, margin, balance
際	3	5	183	14	601	618	サイ	サイ	きわ	きわ, -ぎわ	edge, occasion	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when
点	3	2	165	9	604	169	テン	テン		つ･ける, つ･く, た･てる, さ･す, とぼ･す, とも･す, ぼち	point, dot	spot, point, mark, speck, decimal point
勤	3	6	830	12	605	559	キン, ゴン	キン, ゴン	つと(める), つと(まる)	つと･める, -づと･め, つと･まる, いそ･しむ	serve, work	diligence, become employed, serve
苦	3	3	623	8	606	545	ク	ク	くる(しい), くる(しむ), くる(しめる), にが(い), にが(る)	くる･しい, -ぐる･しい, くる･しむ, くる･しめる, にが･い, にが･る	suffer, bitter, painful	suffering, trial, worry, hardship, feel bitter, scowl
具	3	3	629	8	609	420	グ	グ		そな･える, つぶさ･に	tool, ingredients	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
偶	3	8	1602	11	610	1639	グウ	グウ		たま	couple, even, accidental	accidentally, even number, couple, man & wife, same kind
草	3	1	967	9	612	249	ソウ	ソウ	くさ	くさ, くさ-, -ぐさ	grass	grass, weeds, herbs, pasture, write, draft
配	3	3	359	10	614	515	ハイ	ハイ	くば(る)	くば･る	distribute, deliver	distribute, spouse, exile, rationing
組	3	2	204	11	615	418	ソ	ソ	くみ, く(む)	く･む, くみ, -ぐみ	class, crew, assemble	association, braid, plait, construct, assemble, unite, cooperate, grapple
暮	3	6	978	14	618	1428	ボ	ボ	く(れる), く(らす)	く･れる, く･らす	grow dark, live	evening, twilight, season's end, livelihood, make a living, spend time
景	3	4	419	12	624	853	ケイ	ケイ			view, scene	scenery, view
警	3	6	366	19	625	706	ケイ	ケイ		いまし･める	admonish, warn	admonish, commandment
迎	3	8	625	7	627	1055	ゲイ	ゲイ	むか(える)	むか･える	meet, welcome, invite	welcome, meet, greet
険	3	5	707	11	630	533	ケン	ケン	けわ(しい)	けわ･しい	steep, severe	precipitous, inaccessible place, impregnable position, steep place, sharp eyes
件	3	5	212	6	631	732	ケン	ケン		くだん	matter, affair, case	affair, case, matter, item
権	3	6	156	15	634	335	ケン, ゴン	ケン, ゴン		おもり, かり, はか･る	authority, power, right	authority, power, rights
原	3	2	172	10	636	136	ゲン	ゲン	はら	はら	original, plain, field	meadow, original, primitive, field, plain, prairie, tundra, wilderness
呼	3	6	498	8	642	1254	コ	コ	よ(ぶ)	よ･ぶ	call, invite	call, call out to, invite
互	3	8	914	4	644	907	ゴ	ゴ	たが(い)	たが･い, かたみ･に	mutual, each other	mutually, reciprocally, together
幸	3	3	786	8	647	684	コウ	コウ	さいわ(い), さち, しあわ(せ)	さいわ･い, さち, しあわ･せ	happiness, good fortune	happiness, blessing, fortune
港	3	3	495	12	648	669	コウ	コウ	みなと	みなと	harbor, port	harbor
候	3	4	510	10	649	944	コウ	コウ	そうろう	そうろう	season, weather, serve	climate, season, weather, wait for, expect
雑	3	5	839	14	653	575	ザツ, ゾウ	ザツ, ゾウ		まじ･える, まじ･る	miscellaneous, mix	miscellaneous
辞	3	4	633	13	655	688	ジ	ジ	や(める)	や･める, いな･む	word, resign	resign, word, term, expression
昨	3	4	226	9	656	361	サク	サク			past, yesterday	yesterday, previous
礼	3	3	1185	5	659	620	レイ, ライ	レイ, ライ			courtesy, gratitude	salute, bow, ceremony, thanks, remuneration
欲	3	6	902	11	660	1127	ヨク	ヨク	ほっ(する), ほ(しい)	ほっ･する, ほ･しい	greed, desire, want	longing, covetousness, greed, passion, desire, craving
更	3	8	861	7	662	1008	コウ	コウ	さら, ふ(ける), ふ(かす)	さら, さら･に, ふ･ける, ふ･かす	anew, grow late	grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further
告	3	5	188	7	670	690	コク	コク	つ(げる)	つ･げる	tell, inform	revelation, tell, inform, announce
断	3	5	338	11	673	1024	ダン	ダン	ことわ(る), た(つ)	た･つ, ことわ･る, さだ･める	judgment, decline, cut off	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting
困	3	6	843	7	675	558	コン	コン	こま(る)	こま･る	be distressed	quandary, become distressed, annoyed
込	3	8	675	5	676	776			こ(む), こ(める)	-こ･む, こ･む, こ･み, -こ･み, こ･める	be crowded, include	crowded, mixture, in bulk, included, (kokuji)
米	3	2	61	6	677	224	ベイ, マイ	ベイ, マイ, メエトル	こめ	こめ, よね	rice, America	rice, USA, metre
殺	3	5	581	10	678	576	サツ, サイ, セツ	サツ, サイ, セツ	ころ(す)	ころ･す, -ごろ･し, そ･ぐ	kill	kill, murder, butcher, slice off, split, diminish, reduce, spoil
怖	3	8	1325	8	679	1814	フ	フ, ホ	こわ(い)	こわ･い, こわ･がる, お･じる, おそ･れる	frightening, dreadful	dreadful, be frightened, fearful
職	3	5	305	18	683	385	ショク	ショク, ソク			employment, job	post, employment, work
談	3	3	272	15	684	593	ダン	ダン			conversation	discuss, talk
申	3	3	492	5	688	309	シン	シン	もう(す)	もう･す, もう･し-, さる	say, be called	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
働	3	4	417	13	689	232	ドウ	ドウ	はたら(く)	はたら･く	work, labor	work, (kokuji)
付	3	4	322	5	690	192	フ	フ	つ(く), つ(ける)	つ･ける, -つ･ける, -づ･ける, つ･け, つ･け-, -つ･け, -づ･け, -づけ, つ･く, -づ･く, つ･き, -つ･き, -つき, -づ･き, -づき	attach, append	adhere, attach, refer to, append
助	3	3	397	7	691	623	ジョ	ジョ	たす(ける), たす(かる)	たす･ける, たす･かる, す･ける, すけ	help, assist, rescue	help, rescue, assist
連	3	4	30	10	692	440	レン	レン	つ(れる), つら(ねる), つら(なる)	つら･なる, つら･ねる, つ･れる, -づ･れ	group, take, line up	take along, lead, join, connect, party, gang, clique
座	3	6	588	10	696	786	ザ	ザ	すわ(る)	すわ･る	sit, seat	squat, seat, cushion, gathering, sit
才	3	2	1497	3	697	551	サイ	サイ			talent, genius	genius, years old, cubic shaku
最	3	4	82	12	699	263	サイ	サイ, シュ	もっと(も)	もっと･も, つま	most, extreme	utmost, most, extreme
妻	3	5	691	8	700	671	サイ	サイ	つま	つま	wife	wife, spouse
済	3	6	168	11	702	549	サイ	サイ, セイ	す(む), す(ます)	す･む, -ず･み, -ずみ, す･まない, す･ます, -す･ます, すく･う, な･す, わたし, わた･る	finish, settle	settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not
歳	3	8	269	13	703	479	サイ, セイ	サイ, セイ		とし, とせ, よわい	year, age	year-end, age, occasion, opportunity
財	3	5	494	10	704	553	ザイ, サイ	ザイ, サイ, ゾク		たから	wealth, property	property, money, wealth, assets
