kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
破	3	5	590	10	938	665	ハ	ハ	やぶ(る), やぶ(れる)	やぶ･る, やぶ･れる, わ･れる	tear, break	rend, rip, tear, break, destroy, defeat, frustrate
箱	3	3	1357	15	942	1091	ソウ	ソウ	はこ	はこ	box	box, chest, case, bin, railway car
放	3	3	288	8	946	512	ホウ	ホウ	はな(す), はな(つ), はな(れる)	はな･す, -っぱな･し, はな･つ, はな･れる, こ･く, ほう･る	let go, release	set free, release, fire, shoot, emit, banish, liberate
腹	3	6	1286	13	949	1271	フク	フク	はら	はら	belly, stomach, mind	abdomen, belly, stomach
判	3	5	197	7	950	1026	ハン, バン	ハン, バン		わか･る	judge, stamp, seal	judgement, signature, stamp, seal
晩	3	6	1424	12	953	736	バン	バン			evening, night	nightfall, night
非	3	5	472	8	954	498	ヒ	ヒ		あら･ず	non-, un-, wrong	un-, mistake, negative, injustice, non-
貧	3	5	1211	11	959	753	ヒン, ビン	ヒン, ビン	まず(しい)	まず･しい	poor	poverty, poor
婦	3	5	671	11	962	316	フ	フ		よめ	woman, wife, lady	lady, woman, wife, bride
舞	3	8	655	15	967	810	ブ	ブ	ま(う), まい	ま･う, -ま･う, まい	dance, flutter	dance, flit, circle, wheel
福	3	3	467	13	969	1379	フク	フク			fortune, blessing	blessing, fortune, luck, wealth
報	3	5	167	12	976	685	ホウ	ホウ	むく(いる)	むく･いる	news, report, reward	report, news, reward, retribution
満	3	4	515	12	984	201	マン	マン, バン	み(ちる), み(たす)	み･ちる, み･つ, み･たす	full	full, fullness, enough, satisfy
未	3	4	650	5	985	306	ミ	ミ, ビ		いま･だ, ま･だ, ひつじ	not yet	un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac
夢	3	5	943	13	987	811	ム	ム, ボウ	ゆめ	ゆめ, ゆめ･みる, くら･い	dream	dream, vision, illusion
娘	3	8	1145	10	988	1752		ジョウ	むすめ	むすめ, こ	daughter, girl	daughter, girl
戻	3	8	890	7	990	1238	レイ	レイ	もど(る), もど(す)	もど･す, もど･る	return, restore	re-, return, revert, resume, restore, go backwards
由	3	3	325	5	991	363	ユ, ユウ, ユイ	ユ, ユウ, ユイ	よし	よし, よ･る	reason, cause, significance	wherefore, a reason
良	3	4	501	7	993	321	リョウ	リョウ	よ(い)	よ･い, -よ･い, い･い, -い･い	good	good, pleasing, skilled
陽	3	3	1071	12	994	630	ヨウ	ヨウ		ひ	sun, positive	sunshine, yang principle, positive, male, heaven, daytime
容	3	5	264	10	995	654	ヨウ	ヨウ		い･れる	appearance, content	contain, form, looks
労	3	4	398	7	1008	233	ロウ	ロウ		ろう･する, いたわ･る, いた･ずき, ねぎら, つか･れる, ねぎら･う	labor, toil	labor, thank for, reward for, toil, trouble
