learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
268	SHIN	シン	susu(mu), susu(meru)	すす(む), すす(める)	advance, progress	437
269	SEI, SHOU	セイ, ショウ	koe, kowa	こえ, こわ	voice	746
270	SETSU, ZEI	セツ, ゼイ	to(ku)	と(く)	explain, theory	400
271	SEN	セン	ara(u)	あら(う)	wash	692
272	SON	ソン	mura	むら	village	191
273	TAI, TA	タイ, タ	futo(i), futo(ru)	ふと(い), ふと(る)	big, fat, thick	629
274	TAN	タン	mijika(i)	みじか(い)	short	215
275	CHI	チ	ike	いけ	pond	119
276	TEI	テイ	hiku(i), hiku(maru), hiku(meru)	ひく(い), ひく(まる), ひく(める)	low	561
277	TSU, TO	ツ, ト	miyako	みやこ	capital, city	188
278	BEN, BIN	ベン, ビン	tayo(ri)	たよ(り)	convenience, mail	812
279	MIN	ミン	tami	たみ	people, nation	177
280	MON	モン	kado	かど	gate	161
281	YAKU	ヤク	kusuri	くすり	medicine, drug	359
282	SOU, SHOU	ソウ, ショウ	ai	あい	aspect, phase, each other	146
283	AI	アイ			love	259
284	SHOU	ショウ	akina(u)	あきな(う)	trade, sell	412
285	SEN	セン	asa(i)	あさ(い)	shallow, superficial	649
286	YO	ヨ	azu(keru), azu(karu)	あず(ける), あず(かる)	entrust, deposit	394
287	KAN	カン	ase	あせ	sweat, perspiration	1188
288	YUU, YU	ユウ, ユ	aso(bu)	あそ(ぶ)	play, be idle	1003
289	CHI	チ	ne, atai	ね, あたい	value, price	425
290	YO	ヨ	ata(eru)	あた(える)	give, grant	539
291	ON	オン	atata(ka), atata(kai), atata(meru), atata(maru), nuru(i)	あたた(か), あたた(かい), あたた(める), あたた(まる), ぬる(い)	warm, warmth, tepid	634
292	DAN	ダン	atata(kai), atata(meru), atata(maru)	あたた(かい), あたた(める), あたた(まる)	warm	635
293	TOU, TO, ZU	トウ, ト, ズ	atama, kashira	あたま, かしら	head, leader, top	276
294	HEN	ヘン	ata(ri), be	あた(り), べ	vicinity, neighborhood	775
295	TOU	トウ	a(teru), a(taru)	あ(てる), あ(たる)	hit, win, allot	77
296	ATSU	アツ			pressure	1342
297	NETSU	ネツ	atsu(i)	あつ(い)	heat, hot, fever	645
298	KOU	コウ	atsu(i)	あつ(い)	thick, kind, cordial	639
299	SEKI	セキ	ato	あと	mark, trace, remains	1569
300	BOU, BAKU	ボウ, バク	aba(ku), aba(reru)	あば(く), あば(れる)	violent, rage, disclose, expose	1014
301	YOKU	ヨク	a(biru), a(biseru)	あ(びる), あ(びせる)	bathe	1128
302	KI	キ	abu(nai), aya(ui)	あぶ(ない), あや(うい)	dangerous	534
303	YU	ユ	abura	あぶら	oil	364
304	SHI	シ	abura	あぶら	fat	1042
305	KAN	カン	ama(i), ama(eru), ama(yakasu)	あま(い), あま(える), あま(やかす)	sweet, indulgent	1492
306	YO	ヨ	ama(ru), ama(su)	あま(る), あま(す)	remainder, excess	1063
307	HEN	ヘン	a(mu)	あ(む)	knit, compile	682
308	KA	カ	su(giru), su(gosu), ayama(chi)	す(ぎる), す(ごす), あやま(ち)	pass, exceed, error	413
309	GO	ゴ	ayama(ru)	あやま(る)	error, mistake	906
310	KOU	コウ	ara(i), a(reru), a(rasu)	あら(い), あ(れる), あ(らす)	rough, wild, violent	1377
311	SOU	ソウ	araso(u), araso(i)	あらそ(う), あらそ(い)	quarrel, dispute, contend	302
312	KAI	カイ	arata(meru), arata(maru)	あらた(める), あらた(まる)	alter, renew, reform	514
313	HYOU	ヒョウ	omote, arawa(su), arawa(reru)	おもて, あらわ(す), あらわ(れる)	surface, chart, express	272
314	GEN	ゲン	arawa(reru), arawa(su)	あらわ(れる), あらわ(す)	present, appear	298
315	CHO	チョ	arawa(su), ichijiru(shii)	あらわ(す), いちじる(しい)	write, remarkable, conspicuous	859
316	ZAI	ザイ	a(ru)	あ(る)	outskirts, country, exist	268
317	I	イ			entrust	466
318	I	イ	koromo	ころも	garment, clothes	677
319	I	イ	kako(mu), kako(u)	かこ(む), かこ(う)	surround, enclose, besiege	1194
320	I	イ	kurai	くらい	rank, position	122
321	I	イ			stomach	1268
322	EKI, I	エキ, イ	yasa(shii)	やさ(しい)	divination, easy, simple	759
323	I	イ	utsu(ru), utsu(su)	うつ(る), うつ(す)	move, transfer, infect	1121
324	I, E	イ, エ			depend on	678
325	I	イ	era(i)	えら(い)	great, eminent	1053
326	I	イ	chiga(u), chiga(eru)	ちが(う), ちが(える)	differ, wrong	814
327	DO	ド	ika(ru), oko(ru)	いか(る), おこ(る)	anger	1596
328	SOKU	ソク	iki	いき	breath	1242
329	IKI	イキ			region, area	970
330	SEI	セイ	ikio(i)	いきお(い)	force, energy, vigor, trend	646
331	KI	キ	iku	いく	how much/many, some	877
332	IKU	イク	soda(tsu), soda(teru)	そだ(つ), そだ(てる)	grow, raise, educate	246
333	SEN	セン	ikusa, tataka(u)	いくさ, たたか(う)	fight, battle, war	301
334	YUU	ユウ	isa(mu)	いさ(む)	brave	1386
335	SEKI, SHAKU	セキ, シャク	ishi	いし	stone	78
336	SEN	セン	izumi	いずみ	spring, fountain	1192
337	BOU	ボウ	isoga(shii)	いそが(しい)	busy	1373
338	HAN, BAN	ハン, バン	ita	いた	board, plank	1047
339	TSUU	ツウ	ita(i), ita(mu), ita(meru)	いた(い), いた(む), いた(める)	pain	1320
340	HOU	ホウ	da(ku), ida(ku), kaka(eru)	だ(く), いだ(く), かか(える)	hug, hold, embrace	1285
341	CHOU	チョウ	itadaki, itada(ku)	いただき, いただ(く)	summit, top, receive	1440
342	SHI	シ	ito	いと	thread	242
343	EI	エイ	itona(mu)	いとな(む)	manage, conduct	722
344	HI	ヒ	ina	いな	no	1248
345	MEI,MYOU	メイ,ミョウ	inochi	いのち	life, order, command	578
346	KI	キ	ino(ru)	いの(る)	pray	621
347	YOU	ヨウ	i(ru)	い(る)	main point, need	419
348	KYO	キョ	i(ru)	い(る)	live, exist, be	171
349	GAN	ガン	iwa	いわ	rock, crag	1345
350	SHUKU, SHUU	シュク, シュウ	iwa(u), iwa(i)	いわ(う), いわ(い)	celebrate, congratulate	851
351	IN	イン	shirushi	しるし	seal, stamp, sign, mark	1043
352	IN	イン	yo(ru)	よ(る)	cause	554
353	U	ウ	ha, hane	は, はね	feather, wing	590
354	U	ウ			heaven, universe	990
355	SHO	ショ	ui, hatsu, haji(me)	うい, はつ, はじ(め)	first, beginning	679
356	SHOKU	ショク	u(eru), u(waru)	う(える), う(わる)	plant	424
357	SHI	シ	ukaga(u)	うかが(う)	ask, visit, hear	1761
358	FU	フ	u(ku), u(kabu)	う(く), う(かぶ)	float, surface	938
359	JU	ジュ	u(keru), u(karu)	う(ける), う(かる)	receive	260
360	SHOU	ショウ	uketamawa(ru)	うけたまわ(る)	hear, be told	942
361	SHITSU	シツ	ushina(u)	うしな(う)	lose, vanish	311
362	HAKU	ハク	usu(i), usu(maru), usu(meru)	うす(い), うす(まる), うす(める)	thin, weak, light	1449
363	GI	ギ	utaga(u)	うたが(う)	doubt, suspect	1516
364	NAI, DAI	ナイ, ダイ	uchi	うち	inside	84
365	DA	ダ	u(tsu)	う(つ)	hit, strike	1020
366	BI	ビ	utsuku(shii)	うつく(しい)	beauty, beautiful	401
367	KI	キ	utsuwa	うつわ	container, capacity	527
368	WAN	ワン	ude	うで	arm, talent, ability	1299
369	BA	バ	uma, ma	うま, ま	horse	283
370	MAI	マイ	u(maru), u(meru)	う(まる), う(める)	bury, fill up	1826
371	KEI	ケイ	uyama(u)	うやま(う)	respect, revere	705
372	RI	リ	ura	うら	reverse side, back	273
373	SEN	セン	shi(meru), urana(u), urana(i)	し(める), うらな(う), うらな(い)	occupy, divine	1706
374	TOKU	トク	u(ru), e(ru)	う(る), え(る)	gain, profit	374
375	KAI, E	カイ, エ			picture	345
376	EI	エイ	oyo(gu)	およ(ぐ)	swim	1208
377	EI	エイ	saka(eru), ha(e), ha(eru)	さか(える), は(え), は(える)	prosper, glory	723
378	EI	エイ	naga(i)	なが(い)	long time, eternal	1207
379	EI	エイ	surudo(i)	するど(い)	sharp	1371
380	YAKU, EKI	ヤク, エキ			post, service, battle	375
381	EKI	エキ			liquid, fluid	472
382	SHI	シ	eda	えだ	branch	870
383	ETSU	エツ	ko(su), ko(eru)	こ(す), こ(える)	cross, go over, exceed	1001
384	SHOU	ショウ	wara(u), e(mu)	わら(う), え(む)	laugh, smile	1235
385	SEN	セン	era(bu)	えら(ぶ)	choose, select	800
386	EN	エン	sono	その	garden	447
387	EN	エン	shio	しお	salt	1101
388	EN	エン			act, perform, play	344
389	EN	エン	no(biru), no(beru), no(basu)	の(びる), の(べる), の(ばす)	postpone, prolong	1115
390	EN	エン	kemuri, kemu(ru), kemu(i)	けむり, けむ(る), けむ(い)	smoke	919
391	SHO, CHO	ショ, チョ	o	お	beginning, cord, thong	862
392	O	オ	kitana(i), kega(su), yogo(su)	きたな(い), けが(す), よご(す)	dirty, soiled	693
393	WA, O	ワ, オ	yawa(ragu), nago(mu)	やわ(らぐ), なご(む)	peace, harmony, Japanese	124
394	ROU	ロウ	o(iru), fu(keru)	お(いる), ふ(ける)	grow old	543
395	FU	フ	ma(keru), ma(kasu), o(u)	ま(ける), ま(かす), お(う)	lose, beat, defeat	510
396	TSUI	ツイ	o(u)	お(う)	chase, pursue	1174
397	OU	オウ			king	294
398	OU, KOU	オウ, コウ	ki, ko	き, こ	yellow	780
399	OU	オウ			center, middle	351
400	OU	オウ	yoko	よこ	beside, side, width	781
401	OU	オウ			Europe	1022
402	OU	オウ	o(su), o(saeru)	お(す), お(さえる)	push	986
403	OU	オウ	oku	おく	interior, depths	476
404	HAN	ハン	oka(su)	おか(す)	commit, violate	882
405	HAI	ハイ	oga(mu)	おが(む)	worship, pray	1201
406	HO	ホ	ogina(u)	おぎな(う)	supply, compensate	889
407	CHI	チ	o(ku)	お(く)	put, place	426
408	OKU	オク			hundred million	382
409	CHI	チ	oso(i), oku(reru), oku(rasu)	おそ(い), おく(れる), おく(らす)	late, slow	702
