kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
明	4	2	67	8	84	18	18	メイ, ミョウ	メイ, ミョウ, ミン	あか(るい), あ(ける)	あ･かり, あか･るい, あか･るむ, あか･らむ, あき･らか, あ･ける, -あ･け, あ･く, あ･くる, あ･かす	light, bright, clear	bright, light	
秋	4	2	635	9	85	462		シュウ	シュウ	あき	あき, とき	autumn, fall	autumn	
空	4	1	304	8	86	140	140	クウ	クウ	そら, から, あ(く), あ(ける)	そら, あ･く, あ･き, あ･ける, から, す･く, す･かす, むな･しい	sky, air, empty	empty, sky, void, vacant, vacuum	
開	4	3	59	12	87	396		カイ	カイ	あ(く), あ(ける), ひら(く)	ひら･く, ひら･き, -びら･き, ひら･ける, あ･く, あ･ける	open	open, unfold, unseal	
悪	4	3	530	11	88	304	304	アク	アク, オ	わる(い)	わる･い, わる-, あ･し, にく･い, -にく･い, ああ, いずくに, いずくんぞ, にく･む	bad, evil	bad, vice, rascal, false, evil, wrong	
朝	4	2	248	12	89	469		チョウ	チョウ	あさ	あさ	morning	morning, dynasty, regime, epoch, period, (North) Korea	
字	4	1	485	6	90	110	110	ジ	ジ	あざ	あざ, あざな, -な	letter, character, mark	character, letter, word, section of village	
足	4	1	343	7	91	58	58	ソク	ソク	あし, た(る), た(す), た(りる)	あし, た･りる, た･る, た･す	foot, leg, suffice	leg, foot, be sufficient, counter for pairs of footwear	
味	4	3	442	8	92	307	307	ミ	ミ	あじ(わう)	あじ, あじ･わう	taste	flavor, taste	
新	4	2	51	13	93	174	174	シン	シン	あら(た), あたら(しい), に(い)	あたら･しい, あら･た, あら-, にい-	new, fresh	new	
集	4	3	210	12	94	436		シュウ	シュウ	あつ(まる), あつ(める)	あつ･まる, あつ･める, つど･う	collect, gather	gather, meet, congregate, swarm, flock	
兄	4	2	1219	5	95	406		ケイ, キョウ	ケイ, キョウ	あに	あに	older brother	elder brother, big brother	
歩	4	2	554	8	96	431		ホ, ブ	ホ, ブ, フ	ある(く), あゆ(む)	ある･く, あゆ･む	walk, step	walk, counter for steps	
