kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
危	3	6	606	6	302	534	543	キ	キ	あぶ(ない), あや(うい), あや(ぶむ)	あぶ･ない, あや･うい, あや･ぶむ	dangerous, fear	dangerous, fear, uneasy	2024-02-02T16:24:28.254178
亡	3	6	661	3	922	672	684	ボウ, モウ	ボウ, モウ	な(い)	な･い, な･き-, ほろ･びる, ほろ･ぶ, ほろ･ぼす	dead, deceased	deceased, the late, dying, perish	2024-02-02T16:24:28.254178
背	3	6	696	9	834	1265	1338	ハイ	ハイ	せ, せい, そむ(く), そむ(ける)	せ, せい, そむ･く, そむ･ける	back, height, disobey	stature, height, back, behind, disobey, defy, go back on, rebel	2024-02-02T16:24:28.254178
勤	3	6	830	12	605	559	568	キン, ゴン	キン, ゴン	つと(める), つと(まる)	つと･める, -づと･め, つと･まる, いそ･しむ	serve, work	diligence, become employed, serve	2024-02-03T14:35:39.088755
困	3	6	843	7	675	558	567	コン	コン	こま(る)	こま･る	distressed	quandary, become distressed, annoyed	2024-02-03T14:35:39.088755
刻	3	6	866	8	544	1211	1274	コク	コク	きざ(む)	きざ･む, きざ･み	carve, chop, engrave	engrave, cut fine, chop, hash, mince, time, carving	2024-02-03T14:35:39.088755
欲	3	6	902	11	660	1127	1179	ヨク	ヨク	ほ(しい), ほっ(する)	ほっ･する, ほ･しい	greed, desire, want	longing, covetousness, greed, passion, desire, craving	2024-02-04T16:42:19.122582
痛	3	6	903	12	339	1320	1402	ツウ	ツウ	いた(い), いた(む), いた(める)	いた･い, いた･む, いた･ましい, いた･める	pain, hurt	pain, hurt, damage, bruise	2024-02-04T16:42:19.122582
探	3	6	930	11	522	535	544	タン	タン	さぐ(る), さが(す)	さぐ･る, さが･す	search, look for	grope, search, look for	2024-02-04T16:42:19.122582
閉	3	6	951	11	576	397	401	ヘイ	ヘイ	し(める), し(まる), と(じる), と(ざす)	と･じる, と･ざす, し･める, し･まる, た･てる	close, shut	closed, shut	2024-02-06T19:58:17.727833
暮	3	6	978	14	618	1428	1517	ボ	ボ	く(れる), く(らす)	く･れる, く･らす	grow dark, livelihood	evening, twilight, season's end, livelihood, make a living, spend time	2024-02-06T19:58:17.727833
吸	3	6	1054	6	581	1256	1327	キュウ	キュウ	す(う)	す･う	inhale, suck, smoke	suck, imbibe, inhale, sip	2024-02-06T19:58:17.727833
忘	3	6	1129	7	554	1374	1461	ボウ	ボウ	わす(れる)	わす･れる	forget	forget	2024-02-10T21:28:03.424634
誤	3	6	1150	14	309	906	928	ゴ	ゴ	あやま(る)	あやま･る, -あやま･る	error, mistake	mistake, err, do wrong, mislead	2024-02-10T21:28:03.424634
洗	3	6	1168	9	271	692	705	セン	セン	あら(う)	あら･う	wash	wash, inquire into, probe	2024-02-10T21:28:03.424634
窓	3	6	1186	11	848	698	711	ソウ	ソウ, ス	まど	まど, てんまど, けむだし	window	window, pane	2024-02-11T19:54:02.967579
腹	3	6	1286	13	949	1271	1345	フク	フク	はら	はら	stomach, abdomen	abdomen, belly, stomach	2024-02-11T19:54:02.967579
頂	3	6	1350	11	341	1440	1530	チョウ	チョウ	いただ(く), いただき	いただ･く, いただき	summit, top, receive	place on the head, receive, top of head, top, summit, peak	2024-02-11T19:54:02.967579
晩	3	6	1424	12	953	736	749	バン	バン			nightfall	nightfall, night	2024-02-13T18:57:39.804466
歳	3	8	269	13	703	479	487	サイ, セイ	サイ, セイ		とし, とせ, よわい	years old, year-end	year-end, age, occasion, opportunity	2024-02-13T18:57:39.804466
与	3	8	308	3	290	539	548	ヨ	ヨ	あた(える)	あた･える, あずか･る, くみ･する, ともに	give, grant	bestow, participate in, give, award, impart, provide, cause, gift, godsend	2024-02-13T18:57:39.804466
違	3	8	344	13	326	814	833	イ	イ	ちが(う), ちが(える)	ちが･う, ちが･い, ちが･える, -ちが･える, たが･う, たが･える	differ, alter	difference, differ	2024-02-14T20:25:20.478483
渡	3	8	446	12	597	378	379	ト	ト	わた(る), わた(す)	わた･る, -わた･る, わた･す	cross, hand over	transit, ford, ferry, cross, import, deliver, diameter, migrate	2024-02-14T20:25:20.478483
突	3	8	521	8	889	898	920	トツ	トツ, カ	つ(く)	つ･く	thrust, poke	stab, protruding, thrust, pierce, prick, collision, sudden	2024-02-14T20:25:20.478483
捕	3	8	604	10	887	890	911	ホ	ホ	と(る), と(らえる), と(らわれる), つか(まる), つか(まえる)	と･らえる, と･らわれる, と･る, とら･える, とら･われる, つか･まえる, つか･まる	catch, grasp	catch, capture	2024-02-19T21:34:32.094442
迎	3	8	625	7	627	1055	1098	ゲイ	ゲイ	むか(える)	むか･える	meet, welcome	welcome, meet, greet	2024-02-19T21:34:32.094442
彼	3	8	648	8	481	977	1010	ヒ	ヒ	かれ, かの	かれ, かの, か･の	he, that	he, that, the	2024-02-19T21:34:32.094442
